Year,Month,Country,Type,wheat,barley,other
2008,8,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,7,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,8,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,7,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,5,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,8,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,7,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2006,6,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,8,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,7,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,6,England,wheat,1,0,0
2005,5,England,wheat,1,0,0
2005,1,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,8,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,7,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,6,England,wheat,1,0,0
2004,5,England,wheat,1,0,0
2008,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2007,6,England,wheat,1,0,0
2010,7,Germany,barley,0,1,0
2010,6,Germany,barley,0,1,0
2010,6,Germany,barley,0,1,0
2010,6,Germany,barley,0,1,0
2009,7,Germany,barley,0,1,0
2009,5,Germany,barley,0,1,0
2009,5,Germany,barley,0,1,0
2007,6,Germany,barley,0,1,0
2006,8,Germany,barley,0,1,0
2005,7,Germany,barley,0,1,0
2005,6,Germany,barley,0,1,0
2005,5,Germany,barley,0,1,0
2004,6,Germany,barley,0,1,0
2004,5,Germany,barley,0,1,0
2005,6,Germany,barley,0,1,0
2005,6,Germany,barley,0,1,0
2005,7,Germany,cereal,0,0,1
2008,11,Germany,mustard,0,0,1
2008,11,Germany,mustard,0,0,1
2006,12,Germany,mustard,0,0,1
2006,10,Germany,mustard,0,0,1
2006,10,Germany,mustard,0,0,1
2006,7,Germany,oats,0,0,1
2010,5,Germany,rape,0,0,1
2010,5,Germany,rape,0,0,1
2009,5,Germany,rape,0,0,1
2007,4,Germany,rape,0,0,1
2007,4,Germany,rape,0,0,1
2007,4,Germany,rape,0,0,1
2007,4,Germany,rape,0,0,1
2007,4,Germany,rape,0,0,1
2006,6,Germany,rape,0,0,1
2005,5,Germany,rape,0,0,1
2005,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,5,Germany,rape,0,0,1
2004,4,Germany,rape,0,0,1
2007,6,Germany,rye,0,0,1
2007,5,Germany,rye,0,0,1
2006,7,Germany,rye,0,0,1
2007,7,Germany,spelt,0,0,1
2007,5,Germany,spelt,0,0,1
2006,10,Germany,triticale,0,0,1
2010,8,Germany,wheat,1,0,0
2010,8,Germany,wheat,1,0,0
2010,8,Germany,wheat,1,0,0
2010,7,Germany,wheat,1,0,0
2010,7,Germany,wheat,1,0,0
2010,6,Germany,wheat,1,0,0
2009,8,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2009,7,Germany,wheat,1,0,0
2008,8,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,7,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2007,8,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2006,8,Germany,wheat,1,0,0
2006,8,Germany,wheat,1,0,0
2006,8,Germany,wheat,1,0,0
2006,8,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,7,Germany,wheat,1,0,0
2006,6,Germany,wheat,1,0,0
2006,6,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,8,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,7,Germany,wheat,1,0,0
2005,6,Germany,wheat,1,0,0
2005,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2010,6,Germany,wheat,1,0,0
2008,6,Germany,wheat,1,0,0
2007,7,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2007,6,Germany,wheat,1,0,0
2005,6,Germany,wheat,1,0,0
2004,6,Germany,wheat,1,0,0
2006,6,Italy,alfalfa,0,0,1
2009,6,Italy,barley,0,1,0
2009,6,Italy,barley,0,1,0
2009,5,Italy,barley,0,1,0
2008,4,Italy,barley,0,1,0
2006,5,Italy,barley,0,1,0
2006,5,Italy,barley,0,1,0
2006,5,Italy,barley,0,1,0
2005,6,Italy,barley,0,1,0
2005,6,Italy,barley,0,1,0
2010,5,Italy,barley,0,1,0
2008,6,Italy,barley,0,1,0
2008,6,Italy,barley,0,1,0
2008,6,Italy,barley,0,1,0
2008,6,Italy,barley,0,1,0
2007,6,Italy,barley,0,1,0
2007,6,Italy,barley,0,1,0
2007,6,Italy,barley,0,1,0
2007,5,Italy,barley,0,1,0
2007,5,Italy,barley,0,1,0
2007,5,Italy,barley,0,1,0
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,6,Italy,cereal,0,0,1
2010,5,Italy,cereal,0,0,1
2010,5,Italy,cereal,0,0,1
2010,5,Italy,cereal,0,0,1
2010,5,Italy,cereal,0,0,1
2010,5,Italy,cereal,0,0,1
2010,4,Italy,cereal,0,0,1
2009,6,Italy,cereal,0,0,1
2009,6,Italy,cereal,0,0,1
2009,6,Italy,cereal,0,0,1
2008,6,Italy,cereal,0,0,1
2008,6,Italy,cereal,0,0,1
2008,6,Italy,cereal,0,0,1
2008,5,Italy,cereal,0,0,1
2008,5,Italy,cereal,0,0,1
2008,5,Italy,cereal,0,0,1
2007,6,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,5,Italy,cereal,0,0,1
2007,4,Italy,cereal,0,0,1
2005,9,Italy,grass,0,0,1
2004,9,Italy,grass,0,0,1
2004,7,Italy,oats,0,0,1
2010,5,Italy,rape,0,0,1
2004,8,Italy,rice,0,0,1
2010,6,Italy,wheat,1,0,0
2010,6,Italy,wheat,1,0,0
2009,6,Italy,wheat,1,0,0
2008,6,Italy,wheat,1,0,0
2007,6,Italy,wheat,1,0,0
2007,6,Italy,wheat,1,0,0
2007,6,Italy,wheat,1,0,0
2007,6,Italy,wheat,1,0,0
2007,5,Italy,wheat,1,0,0
2007,5,Italy,wheat,1,0,0
2007,5,Italy,wheat,1,0,0
2007,1,Italy,wheat,1,0,0
2006,7,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2006,5,Italy,wheat,1,0,0
2005,7,Italy,wheat,1,0,0
2005,7,Italy,wheat,1,0,0
2005,7,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,6,Italy,wheat,1,0,0
2005,5,Italy,wheat,1,0,0
2004,11,Italy,wheat,1,0,0
2004,9,Italy,wheat,1,0,0
2004,7,Italy,wheat,1,0,0
2004,6,Italy,wheat,1,0,0
2004,6,Italy,wheat,1,0,0
2010,6,Italy,wheat,1,0,0
2010,5,Italy,wheat,1,0,0
2010,5,Italy,wheat,1,0,0
2008,6,Italy,wheat,1,0,0
2007,5,Italy,wheat,1,0,0
2007,5,Italy,wheat,1,0,0
2006,6,Italy,wheat,1,0,0
2007,5,USA,alfalfa,0,0,1
2004,6,USA,barley,0,1,0
2007,10,USA,corn,0,0,1
2005,9,USA,corn,0,0,1
2005,8,USA,corn,0,0,1
2004,9,USA,corn,0,0,1
2004,9,USA,corn,0,0,1
2004,8,USA,corn,0,0,1
2004,7,USA,corn,0,0,1
2004,7,USA,corn,0,0,1
2007,5,USA,grass,0,0,1
2007,5,USA,grass,0,0,1
2005,11,USA,grass,0,0,1
2005,7,USA,grass,0,0,1
2005,6,USA,grass,0,0,1
2005,6,USA,grass,0,0,1
2005,4,USA,grass,0,0,1
2004,6,USA,grass,0,0,1
2004,7,USA,oat,0,0,1
2004,7,USA,oat,0,0,1
2004,7,USA,oats,0,0,1
2004,7,USA,oats,0,0,1
2006,9,USA,sorghum,0,0,1
2007,9,USA,soybeans,0,0,1
2006,8,USA,soybeans,0,0,1
2006,7,USA,soybeans,0,0,1
2004,8,USA,soybeans,0,0,1
2008,7,USA,wheat,1,0,0
2008,7,USA,wheat,1,0,0
2008,6,USA,wheat,1,0,0
2008,5,USA,wheat,1,0,0
2007,6,USA,wheat,1,0,0
2007,5,USA,wheat,1,0,0
2007,5,USA,wheat,1,0,0
2006,6,USA,wheat,1,0,0
2006,6,USA,wheat,1,0,0
2006,6,USA,wheat,1,0,0
2005,8,USA,wheat,1,0,0
2005,7,USA,wheat,1,0,0
2005,6,USA,wheat,1,0,0
2004,6,USA,wheat,1,0,0
2004,6,USA,wheat,1,0,0
2004,5,USA,wheat,1,0,0
2007,6,USA,wheat,1,0,0
2005,8,Canada,barley,0,1,0
2004,9,Canada,barley,0,1,0
2004,7,Canada,barley,0,1,0
2004,7,Canada,barley,0,1,0
2009,9,Canada,cereal,0,0,1
2007,10,Canada,corn,0,0,1
2007,10,Canada,corn,0,0,1
2007,8,Canada,corn,0,0,1
2007,7,Canada,corn,0,0,1
2007,7,Canada,corn,0,0,1
2004,10,Canada,corn,0,0,1
2004,10,Canada,corn,0,0,1
2004,9,Canada,corn,0,0,1
2004,9,Canada,corn,0,0,1
2004,9,Canada,corn,0,0,1
2004,8,Canada,corn,0,0,1
2008,7,Canada,grass,0,0,1
2008,7,Canada,grass,0,0,1
2008,6,Canada,grass,0,0,1
2006,7,Canada,grass,0,0,1
2005,6,Canada,grass,0,0,1
2004,8,Canada,grass,0,0,1
2004,7,Canada,grass,0,0,1
2004,6,Canada,grass,0,0,1
2005,12,Canada,ice,0,0,1
2005,1,Canada,ice,0,0,1
2005,8,Canada,peas,0,0,1
2005,8,Canada,peas,0,0,1
2006,8,Canada,sorghum,0,0,1
2004,6,Canada,soybeans,0,0,1
2004,5,Canada,trees,0,0,1
2004,5,Canada,trees,0,0,1
2009,8,Canada,wheat,1,0,0
2008,8,Canada,wheat,1,0,0
2008,7,Canada,wheat,1,0,0
2007,9,Canada,wheat,1,0,0
2007,8,Canada,wheat,1,0,0
2005,8,Canada,wheat,1,0,0
2004,10,Canada,wheat,1,0,0
2004,10,Canada,wheat,1,0,0
2004,9,Canada,wheat,1,0,0
2004,7,Canada,wheat,1,0,0
2004,7,Canada,wheat,1,0,0
2008,6,Holland,barley,0,1,0
2007,7,Holland,barley,0,1,0
2006,7,Holland,barley,0,1,0
2004,8,Holland,barley,0,1,0
2004,7,Holland,barley,0,1,0
2007,3,Holland,cereal,0,0,1
2007,6,Holland,grass,0,0,1
2005,6,Holland,grass,0,0,1
2005,4,Holland,grass,0,0,1
2004,5,Holland,grass,0,0,1
2010,6,Holland,wheat,1,0,0
2009,7,Holland,wheat,1,0,0
2009,7,Holland,wheat,1,0,0
2009,7,Holland,wheat,1,0,0
2008,8,Holland,wheat,1,0,0
2008,7,Holland,wheat,1,0,0
2008,6,Holland,wheat,1,0,0
2007,7,Holland,wheat,1,0,0
2007,7,Holland,wheat,1,0,0
2007,7,Holland,wheat,1,0,0
2007,7,Holland,wheat,1,0,0
2007,6,Holland,wheat,1,0,0
2007,6,Holland,wheat,1,0,0
2007,6,Holland,wheat,1,0,0
2007,6,Holland,wheat,1,0,0
2007,6,Holland,wheat,1,0,0
2006,7,Holland,wheat,1,0,0
2006,7,Holland,wheat,1,0,0
2006,7,Holland,wheat,1,0,0
2004,7,Holland,wheat,1,0,0
2004,7,Holland,wheat,1,0,0
2004,7,Holland,wheat,1,0,0
2004,6,Holland,wheat,1,0,0
2004,6,Holland,wheat,1,0,0
2007,5,Swiss,barley,0,1,0
2005,7,Swiss,barley,0,1,0
